Application Number,Title,Abstract,Application Date,Classification,Country Name (Priority),Priority Number,Priority Date,Earliest Priority Date,Application Type (ID)
P6001759/2023,Artificial Wood Paste,,2023-07-12,C08L 3/00,,,,2023-07-12,5
P6001813/2023,Artificial Intelligence system for Autonomous Vessel Navigation in Ports,,2023-07-20,G16Y 40/20,,,,2023-07-20,5
P6001815/2023,Artificial Intelligence system for monitoring of vessel ventilation system,,2023-07-20,G16Y 40/20,,,,2023-07-20,5
P6001828/2023,An integrated solution for land owners to build their dream house consult contractors using artificial intelligence,,2023-07-22,There are no classifications,,,,2023-07-22,5
P6001814/2023,Artificial Intelligence system for monitoring Crew Safety and Performance,,2023-07-20,G16Y 40/20,,,,2023-07-20,5
P6001732/2023,Artificial intelligence system to optimize the optimal division between power sources for ships,,2023-07-06,There are no classifications,,,,2023-07-06,5
P6001918/2023,"A SYSTEM, METHOD, AND DEVICE FOR UNSUPERVISED DATA QUALITY ASSESSMENT",,2023-07-28,G16B 40/30,,,,2023-07-28,5
P6001805/2023,A PRINTING SYSTEM OF SECURITY MATERIALS AND ANTI-FORGERY DOCUMENTS WITH RAISED PRINTING AND PROCESS THEREOF,,2023-07-19,B42D 25/425,,,,2023-07-19,5
P6001817/2023,Artificial Intelligence system for Remote Inspection of external constructions of the maritime asset,,2023-07-20,G16Y 40/20,,,,2023-07-20,5
P6001682/2023,Twajood: Two-Factor Authentication Employee System,,2023-07-02,G06Q 20/40,,,,2023-07-02,5
P6001884/2023,AGRICULTURAL MULTIFUNCTION TANK,,2023-07-27,B65D 90/00,,,,2023-07-27,5
P6002020/2023,"FLUID, SYSTEM AND METHOD FOR IMMERSION COOLING OBJECTS HAVING PLASTICIZED SURFACES",,2023-08-10,There are no classifications,,,,2023-08-10,5
P6002084/2023,Sustainable power generating jetty,,2023-08-18,B63B 35/44,,,,2023-08-18,5
P6002161/2023,Alain,,2023-08-29,There are no classifications,,,,2023-08-29,5
P6002172/2023,Artificial Intelligence system for optimization of marine vessel routes,,2023-08-30,G16Y 40/20,,,,2023-08-30,5
P6002019/2023,wireless energy transmission,,2023-08-10,H01F 38/00,,,,2023-08-10,5
P6002173/2023,Artificial Intelligence system for maritime border crossing security,,2023-08-30,G16Y 40/20,,,,2023-08-30,5
P6002091/2023,ADSCC Method For Obtaining And Evaluating Of A Biological Product With Immunorestorative Potential From The One-hump Camel Thymus,,2023-08-18,"A61K 38/04, A61P 37/02",,,,2023-08-18,5
P6002209/2023,Abu Dhabi,,2023-09-05,There are no classifications,,,,2023-09-05,5
P6002242/2023,MindPlay,,2023-09-07,There are no classifications,,,,2023-09-07,5
P6002466/2023,A SYSTEM AND METHOD FOR GENERATING GEOCODES FOR ADDRESSES,,2023-09-27,"H04L 9/08, H04W 4/00",,,,2023-09-27,5
P6002472/2023,ASSEMBLIES FOR WINDOWS AND DOORS,,2023-09-27,E06B 1/02,,,,2023-09-27,5
P6002623/2023,Advertising boat,,2023-10-12,There are no classifications,,,,2023-10-12,5
P6002670/2023,"A special plastic box for water and a storage box for dates, medicine, or nuts",,2023-10-16,There are no classifications,,,,2023-10-16,5
P6002588/2023,User-Centric Adaptive Job Search Assistant: An AI-driven Dialogue System for Optimized Employment and Job-Seeking Opportunities,,2023-10-10,G06F 40/58,,,,2023-10-10,5
P6002660/2023,Insulation by nanomaterials for the prevention of biodegradation in plastic pipes (antibacterial plastic pipes),,2023-10-13,B82Y 30/00,,,,2023-10-13,5
P6003113/2023,HandsOn Interactive Kit four wound care training,,2023-11-29,C08,,,,2023-11-29,5
P6002906/2023,Optical Storage Media Green Packaging,,2023-11-09,There are no classifications,,,,2023-11-09,5
P6002991/2023,Hydrogen Fuel Cell Air Purifier,,2023-11-16,There are no classifications,,,,2023-11-16,5
P6002861/2023,Digital led advertising with Sand clock media concept,,2023-11-04,There are no classifications,,,,2023-11-04,5
P6002827/2023,Portable security system,,2023-11-01,There are no classifications,,,,2023-11-01,5
P6003262/2023,MITIGATION OF ATMOSPHERIC EFFECTS ON LASER BEAM PROPAGATION ASSISTED BY LASER-INDUCED PLASMA,,2023-12-14,G01N 21/63,,,,2023-12-14,5
P6003355/2023,Recovering Water from Sewage and Wastewater using Reverse Osmosis Reject (Concentrate),,2023-12-24,"C02F 1/00, B01D 61/00",,,,2023-12-24,5
P6003311/2023,ELECTRICALLY ACTIVATED DOWNHOLE VALVE FOR DRILLING APPLICATIONS,,2023-12-20,B60T 15/02,,,,2023-12-20,5
P6003371/2023,A NOVEL BACKWASHING SYSTEM FOR MULTI-MEDIA FILTERS FOR REDUCED FLUID CONSUMPTION DURING BACKWASHING,,2023-12-27,B01D 37/00,,,,2023-12-27,5
P6003335/2023,METHOD FOR PRODUCING SODA ASH,,2023-12-21,C01D 7/12,,,,2023-12-21,5
P6000195/2024,A LOW GRAVITY SIMULATOR,,2024-01-25,B63B 23/12,United States of America,"18/404,510",2024-01-04,2024-01-04,5
P6000012/2024,A guidance and rescue device for people lost in the desert,,2024-01-03,G08B 23/00,,,,2024-01-03,5
P6000002/2024,The Optical System of Marking Targets by Path Detection (OSMTPD),,2024-01-02,A63B 69/00,,,,2024-01-02,5
P6000105/2024,CROWD MONITORING SYSTEM,,2024-01-12,G06K 9/00,,,,2024-01-12,5
P6000079/2024,Method and system for quantum control of the Casimir force,,2024-01-09,There are no classifications,,,,2024-01-09,5
P6000165/2024,HABITAT AND METHOD OF CONVERTING SOLAR ENERGY,,2024-01-23,"H02J 3/38, H02J 13/00",,,,2024-01-23,5
P6000222/2024,"METHODS, SYSTEMS, PRODUCTS AND ARRANGEMENTS FOR CONVERTING PLASTIC WASTE INTO CARBON DOTS",,2024-01-29,C09K 11/00,,,,2024-01-29,5
P2024-00461,Smart bird wildlife feeder,,2024-02-27,"A01K 5/02, A01K 39/012",,,,2024-02-27,5
P6000371/2024,METHOD FOR LITHIUM SORPTION EXTRACTION FROM LITHIUM-CONTAINING BRINES,,2024-02-14,"C22B 3/42, C02F 101/10, C22B 7/00, C22B 26/12, C22B 3/24",Russian Federation,2.02E+09,2021-08-15,2021-08-15,5
P6000332/2024,Cadman Hanging Lockable Steel Drawer,,2024-02-09,A47B,,,,2024-02-09,5
P6000370/2024,Artificial Intelligence Inferencing Machine and Method of Use Thereof,,2024-02-14,There are no classifications,United States of America,1.82E+07,2023-05-12,2023-05-12,5
P2024-00490,SECURED SYSTEM FOR CRYPTOCURRENCY-BASED TRANSACTIONS,,2024-02-29,G06Q 20/06,,,,2024-02-29,5
P2024-00008,Patent Application Inetum - 26-02-2024,,2024-02-26,A01B 3/08,,,,2024-02-26,5
P6000380/2024,METHOD FOR OPERATING A BIOREACTOR FOR CULTIVATED MEAT AND CORRESPONDING BIOREACTOR,,2024-02-15,There are no classifications,,,,2024-02-15,5
P6000418/2024,AN ELECTROLYSIS METHOD FOR GENERATING A DRY MIST,,2024-02-20,C06D 5/00,,,,2024-02-20,5
P6000419/2024,may be challenged,,2024-02-20,There are no classifications,,,,2024-02-20,5
P2024-00463,Savannh Juice (Grewia Tenax and Baobab Powder),,2024-02-27,A23L 33/00,,,,2024-02-27,5
P2024-00760,Invent a new smart tooth notation system ( Al Shekhli smart tooth notation system),,2024-03-28,"G06F 18/00, G06C 1/00",,,,2024-03-28,5
P2024-00685,"AI-Driven Contactless Inspection, Cleaning and Painting Flying Robot System",,2024-03-21,F24S 40/20,,,,2024-03-21,5
P2024-00813,Unique Individual Protection System (UIPS),,2024-04-01,B41B 27/28,,,,2024-04-01,5
P2024-00590,ADVERTISING AND INFORMATION FLOATING VEHICLE,,2024-03-11,G09F 21/22,,,,2024-03-11,5
P2024-00530,Wahba's Magnetic Mouth Guard,,2024-03-03,A61C 13/30,,,,2024-03-03,5
P2024-00571,Emirati-made application and mall Heetan,,2024-03-07,There are no classifications,,,,2024-03-07,5
P2024-00660,ELECTRIC POWER GENERATION SET USING MAGNETIC FORCE WITH AN EFFICIENCY MORE THAN (2).,,2024-03-19,"H02K 33/00, H02P 9/40",,,,2024-03-19,5
P2024-00587,A TIRE VALVE APPARATUS,,2024-03-10,F01L 31/22,,,,2024-03-10,5
P2024-00833,A pricing tool for resturants based on supply and demand using artificial intelligence,,2024-04-02,G03C 8/36,,,,2024-04-02,5
P2024-00948,Contactless payment ring with light feature.,,2024-04-16,B21F 37/02,,,,2024-04-16,5
P2024-00964,MOVABLE RAMP ASSEMBLY FOR VEHICLE,,2024-04-17,B60P 1/43,,,,2024-04-17,5
P2024-00813,Unique Individual Protection System (UIPS),,2024-04-01,B41B 27/28,,,,2024-04-01,5
P2024-01162,ROBOTIZED CARGO VEHICLE,,2024-05-08,B60R 1/29,"Slovakia, Slovakia","PP 40-2021, PUV 82-2021","2021-06-07, 2021-06-07",2021-06-07,5
P2024-01205,Urine and Stool Collection Diaper,,2024-05-13,A61F 5/453,,,,2024-05-13,5
P2024-01149,SYSTEMS AND METHODS FOR LICENSE PLATE RECOGNITION USING MULTIDIMENSIONAL ORTHOGRAPHIC FEATURE TRANSFORM,,2024-05-07,G06V 30/246,,,,2024-05-07,5
P2024-01729,Munther,,2024-06-01,G01S 13/56,United Arab Emirates,261112,2023-03-01,2023-03-01,5
P2024-01580,Inetum Test 20240614,,2024-06-14,A01B 3/08,,,,2024-06-14,5
P2024-01505,METHOD FOR PREPARATION OF ENVIRONMENT FRIENDLY DISINFECTANT FORMULATION,,2024-06-11,A61Q 13/00,,,,2024-06-11,5
P2024-01399,SYSTEM AND COMPUTER-IMPLEMENTED METHOD FOR FACILITATING REAL-TIME COMMUNICATION BETWEEN HOSPITALITY ENTITIES AND GUESTS,,2024-06-02,"G06Q 50/00, G06Q 50/12, G06Q 30/02",,,,2024-06-02,5
P2024-01750,Test inetum 53,,2024-07-03,A01B 3/08,,,,2024-07-03,5
P2024-01758,A NOVEL MULTIMEDIA FILTER SYSTEM WITH MULTIPLE COMPARTMENTS FOR REDUCING FLUID AND ENERGY CONSUMPTION,,2024-07-04,F24H 15/148,,,,2024-07-04,5
P2024-02902,A CLOSED-CIRCUIT PNEUMATIC ENGINE,,2024-10-31,B61C 9/22,,,,2024-10-31,5
P2025-00506,ADAPTIVE AUTONOMOUS BEAM CONTROL SYSTEM,,2025-02-18,"F41H 13/00, G02B 27/28, G06N 3/04, G02B 6/30",,,,2025-02-18,5
P2025-00806,A Product for the Bioremediation of Marine Crude Oil Spills in the Coasts of Abu Dhabi,,2025-03-19,C12N 1/20,,,,2025-03-19,5
P2025-00644,METHOD FOR ENCODING AND DECODING MOLECULAR STRUCTURE OF MOLECULES IN MOLECULAR COMPOUNDS,,2025-03-05,"A61K 39/00, A61K 39/002, A61K 39/005, A61K 39/008",,,,2025-03-05,5
P2025-02549,Autonomous Intelligent System for Operating and Monitoring Landscape Irrigation Networks Using Unmanned Aerial Vehicles (UAVs),,2025-08-13,G01N 27/416,,,,2025-08-13,5
